date,vendor,description,amount,currency,payment_method,receipt_status,user_category,vendor_category_hint,business_purpose_note,gst_hst_included,paid_by,notes
2025-01-10,Amazon Web Services,Cloud hosting January,380.00,CAD,corporate_credit_card,received,software,software_and_cloud,Hosting client project infrastructure,yes,corporation,Recurring monthly
2025-02-10,Amazon Web Services,Cloud hosting February,395.20,CAD,corporate_credit_card,received,software,software_and_cloud,Hosting client project infrastructure,yes,corporation,Recurring monthly
2025-03-10,Amazon Web Services,Cloud hosting March,410.15,CAD,corporate_credit_card,received,software,software_and_cloud,Hosting client project infrastructure,yes,corporation,Recurring monthly
2025-01-05,GitHub,Team plan subscription,28.00,USD,corporate_credit_card,received,software,software_and_cloud,Source control for client deliverables,unknown,corporation,USD charge; converted in bookkeeping
2025-02-05,GitHub,Team plan subscription,28.00,USD,corporate_credit_card,received,software,software_and_cloud,Source control for client deliverables,unknown,corporation,USD charge; converted in bookkeeping
2025-03-05,GitHub,Team plan subscription,28.00,USD,corporate_credit_card,received,software,software_and_cloud,Source control for client deliverables,unknown,corporation,USD charge; converted in bookkeeping
2025-01-15,Rogers,Internet and phone bundle January,180.00,CAD,corporate_bank_account,received,internet_and_phone,utilities_and_phone,Office internet and mobile for business use,yes,corporation,Full amount charged to corp; mixed use not assessed
2025-02-15,Rogers,Internet and phone bundle February,180.00,CAD,corporate_bank_account,received,internet_and_phone,utilities_and_phone,Office internet and mobile for business use,yes,corporation,Full amount charged to corp; mixed use not assessed
2025-03-15,Rogers,Internet and phone bundle March,180.00,CAD,corporate_bank_account,received,internet_and_phone,utilities_and_phone,Office internet and mobile for business use,yes,corporation,Full amount charged to corp; mixed use not assessed
2025-04-02,Restaurant X,Dinner with client team,312.80,CAD,corporate_credit_card,received,meals,meals_and_entertainment,Dinner with primary client project leads,yes,corporation,Business purpose noted; attendees not documented
2025-07-18,Cafe Y,Coffee during remote workday,22.40,CAD,corporate_credit_card,received,meals,meals_and_entertainment,,yes,corporation,No business purpose noted; may be personal
2025-01-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-02-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-03-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-04-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-05-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-06-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-07-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-08-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-09-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-10-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-11-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-12-01,Shareholder Residence,Home office rent charged to corporation,1000,CAD,corporate_bank_account,no_formal_agreement,office,rent_and_workspace,Shareholder working from home office,yes,corporation,No written lease agreement in place; rental arrangement informal
2025-06-14,Petro-Canada,Vehicle fuel,95.00,CAD,corporate_credit_card,received,vehicle,vehicle,Driving to client site,yes,corporation,Vehicle claimed at 85% business use by user; no mileage log provided
2025-08-03,Petro-Canada,Vehicle fuel,88.00,CAD,corporate_credit_card,received,vehicle,vehicle,General business driving,yes,corporation,Vehicle claimed at 85% business use by user; no mileage log provided
2025-10-22,Petro-Canada,Vehicle fuel,101.50,CAD,corporate_credit_card,received,vehicle,vehicle,Client site visit,yes,corporation,Vehicle claimed at 85% business use by user; no mileage log provided
2025-05-30,Apple Store,AirPods purchase,349.00,CAD,corporate_credit_card,received,equipment,possible_personal_item,User says used on calls,yes,corporation,Appears personal; no clear business-only purpose documented
2025-09-21,Sporting Goods Store,Running shoes,189.00,CAD,corporate_credit_card,received,other,likely_personal,No business purpose provided,yes,corporation,Flagged as likely personal expense on corporate card
2025-11-10,Air Canada,Flight to client site,720.00,CAD,corporate_credit_card,received,travel,travel,Travel to onsite engagement with primary client,yes,corporation,Receipts received; business purpose clear
2025-11-12,Hotel Z,Two nights at client site,510.00,CAD,corporate_credit_card,received,travel,travel,Accommodation during onsite engagement,yes,corporation,Receipts received; business purpose clear
2025-03-31,CPA Firm,Prior year corporate tax return preparation,2200.00,CAD,corporate_bank_account,received,professional_fees,legal_accounting_and_professional_fees,T2 preparation for prior year,yes,corporation,Professional fee; deductible at corp level
2025-06-15,QuickBooks,Annual subscription,420.00,CAD,corporate_credit_card,received,software,software_and_cloud,Bookkeeping software for corporation,yes,corporation,Deductible at corp level
